kepid,kepoi_name,koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_duration,koi_depth,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec
9307509,"K02096.01","CONFIRMED",9.76293284,4.683e-05,-4.683e-05,3.064,553.2,1.94,0.18,-0.23,703.0,57.59,0.499,23.60,5052.00,4.503,0.8160,300.619690,45.788921
10158729,"K02097.01","CONFIRMED",58.601926,0.0005788,-0.0005788,5.522,396.4,2.06,0.68,-0.22,508.0,15.80,0.392,19.10,6250.00,4.440,1.0190,297.723140,47.112659
11410904,"K02171.01","CONFIRMED",3.53232429,2.29e-05,-2.29e-05,2.765,224.2,1.43,0.21,-0.07,1159.0,427.65,0.299,12.80,5761.00,4.492,0.9560,295.651490,49.261292
4173026,"K02172.01","CONFIRMED",10.44087398,5.113e-05,-5.113e-05,3.743,821.5,3.41,0.98,-0.49,829.0,111.52,0.914,22.20,5738.00,4.426,0.9810,295.164000,39.201408
11295426,"K00246.01","CONFIRMED",5.398752862,1.947e-06,-1.947e-06,3.4303,346.5,2.21,0.12,-0.11,1140.0,398.33,0.015,289.60,5790.00,4.279,1.1980,291.032320,49.040272
4173026,"K02172.02","CONFIRMED",116.583183,0.002231,-0.002231,5.8,819,2.91,0.83,-0.42,371.0,4.47,0.586,8.70,5738.00,4.426,0.9810,295.164000,39.201408
11774991,"K02173.01","CONFIRMED",37.8154157,0.0002667,-0.0002667,4.662,286.4,1.21,0.08,-0.04,401.0,6.09,0.533,22.40,4856.00,4.624,0.7050,297.292420,49.981628
11774991,"K02173.02","CONFIRMED",53.5783052,0.0004684,-0.0004684,5.194,224.9,1.16,0.09,-0.04,357.0,3.82,0.769,15.40,4856.00,4.624,0.7050,297.292420,49.981628
8261920,"K02174.01","CANDIDATE",6.69332825,2.101e-05,-2.101e-05,2.311,781.8,2.44,0.1,-0.12,609.0,32.54,0.952,23.40,4245.00,4.641,0.6370,300.242220,44.141399
11030475,"K02248.03","CANDIDATE",0.76196247,2.216e-06,-2.216e-06,1.282,190.2,1.08,0.07,-0.06,1638.0,1710.11,0.322,18.30,5167.00,4.555,0.7870,292.239930,48.511570
9757613,"K00250.03","CONFIRMED",3.543919702,4.494e-06,-4.494e-06,1.8717,507,1.21,0.06,-0.1,652.0,42.68,0.022,38.20,3879.00,4.708,0.5370,284.940980,46.566540
