kepoi_name,koi_disposition,target,koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_impact,koi_model_snr,koi_steff,koi_slogg,koi_srad
K03405.01,FALSE POSITIVE,0,20.9794338,3.762,2388.2,24.76,520.0,17.28,1.284,32.2,5182.0,4.601,0.666
K03407.01,CONFIRMED,2,92.436978,6.432,955.2,2.89,348.0,3.46,0.943,17.8,5595.0,4.606,0.741
K03490.01,FALSE POSITIVE,0,42.2011587,8.479,178.1,37.39,671.0,47.85,1.225,15.9,6200.0,4.135,1.449
K03491.01,FALSE POSITIVE,0,89.3313828,11.919,2177.6,8.02,558.0,22.89,0.899,169.5,6860.0,4.233,1.467
K03492.01,FALSE POSITIVE,0,22.2941485,3.188,100.9,1.5,760.0,78.93,0.709,13.6,5915.0,4.223,1.392
K03493.01,CONFIRMED,2,46.7162336,7.259,345.5,2.03,531.0,18.74,0.266,15.4,5856.0,4.386,1.092
K03494.01,CONFIRMED,2,42.8774169,1.991,1068.8,2.67,451.0,9.8,0.02,14.8,5256.0,4.483,0.832
K03495.01,CANDIDATE,1,17.6062701,6.134,146.2,1.72,753.0,75.96,0.923,10.4,5808.0,4.326,1.159
K03495.02,CANDIDATE,1,6.685438,5.09,89.2,1.25,1040.0,276.02,0.853,9.7,5808.0,4.326,1.159
K03590.01,FALSE POSITIVE,0,7.964400574,4.4761,190903.0,61.54,633.0,38.09,1.121,879.2,4478.0,4.578,0.715
K00061.01,FALSE POSITIVE,0,1.63345402,3.817,359.0,24.87,1750.0,2211.18,1.19,7.4,6283.0,4.372,1.091
K00350.01,CANDIDATE,1,12.99065074,2.3748,392.3,2.02,790.0,92.12,0.068,42.5,5787.0,4.402,1.027
K03591.01,FALSE POSITIVE,0,6.399101307,4.7439,83326.0,51.77,1042.0,279.38,1.039,154.4,6233.0,4.472,0.988
K03592.01,FALSE POSITIVE,0,8.480303653,7.48907,81427.9,22.25,762.0,79.65,0.195,301.4,5385.0,4.565,0.787
K03593.01,FALSE POSITIVE,0,117.6813778,12.7591,45362.0,45.43,575.0,25.76,0.433,2426.9,6429.0,3.899,2.079
K03594.01,FALSE POSITIVE,0,17.72722648,4.1376,147144.0,35.18,692.0,54.32,0.381,922.1,6021.0,4.52,0.895
K03685.02,CONFIRMED,2,7.2593226,6.1394,247.5,1.57,967.0,206.88,0.366,40.1,5914.0,4.421,0.987
K00063.01,CONFIRMED,2,9.43414171,2.8112,3977.0,5.73,791.0,92.39,0.538,40.2,5578.0,4.518,0.886
K00353.01,CANDIDATE,1,152.1060435,7.4517,3688.3,11.58,458.0,10.36,0.878,116.3,6200.0,4.072,1.64
K03686.01,FALSE POSITIVE,0,3.351573993,2.8758,54546.0,24.15,1282.0,638.3,0.011,192.4,5984.0,4.408,1.033
K03687.01,FALSE POSITIVE,0,8.097050622,5.6736,65620.0,24.01,891.0,149.48,0.592,404.9,5753.0,4.423,0.894
K03688.01,FALSE POSITIVE,0,2.119107262,7.5384,124646.0,77.23,1851.0,2775.75,0.933,347.3,6381.0,4.155,1.423
K03689.01,CANDIDATE,1,5.24088367,3.3656,8531.2,12.74,1320.0,716.85,0.65,385.7,6452.0,4.241,1.305
K03782.01,FALSE POSITIVE,0,186.5168116,3.1968,5752.4,37.5,452.0,9.83,0.972,126.9,5018.0,3.639,2.99
K03783.01,CANDIDATE,1,197.1455327,2.1145,5664.0,72.16,498.0,14.53,1.251,56.8,7214.0,4.093,1.935
K00064.01,CANDIDATE,1,1.951082219,1.6975,1151.8,10.35,2005.0,3822.26,0.925,30.1,5302.0,3.768,2.426
K00361.01,CONFIRMED,2,3.247548814,2.5146,209.7,1.41,1181.0,460.67,0.31,51.6,5703.0,4.498,0.975
K03784.01,FALSE POSITIVE,0,23.8706941,3.4812,6386.3,49.6,711.0,60.38,1.293,114.8,6022.0,4.308,1.166
K03785.01,FALSE POSITIVE,0,6.2820426,7.941,1413.0,23.76,2021.0,3938.81,0.989,103.3,6635.0,3.511,3.798
K03878.02,CANDIDATE,1,15.3573445,1.634,117.1,1.42,729.0,66.65,0.966,9.6,5818.0,4.464,0.986
K03879.01,FALSE POSITIVE,0,0.867719291,6.323,2651.8,37.79,2106.0,4662.2,1.27,157.1,6220.0,4.398,1.056
K03880.01,FALSE POSITIVE,0,1.803697292,1.5922,69.7,1.0,1783.0,2385.75,0.405,25.8,6438.0,4.33,1.166
K00066.01,FALSE POSITIVE,0,0.436282594,1.3988,536.4,83.25,5187.0,170399.16,1.269,218.3,8491.0,3.853,2.622
K00370.02,CONFIRMED,2,22.95062278,4.4814,129.8,2.17,873.0,137.23,0.748,32.9,6143.0,4.039,1.763
K03883.01,FALSE POSITIVE,0,1.219324537,4.7501,379055.0,60.62,1569.0,1432.21,0.489,241.0,5455.0,4.458,0.897
K03884.01,FALSE POSITIVE,0,2.112405306,2.5845,489.0,19.01,1225.0,533.2,1.207,42.2,5562.0,4.601,0.756
K03975.01,CONFIRMED,2,364.751562,13.057,1481.5,2.89,166.0,0.18,0.875,25.5,4386.0,4.629,0.63
K03976.01,FALSE POSITIVE,0,2.189098506,5.1498,2533.7,29.7,1288.0,651.22,1.258,194.9,5681.0,4.551,0.859
K03977.01,FALSE POSITIVE,0,0.7088055,3.6789,17575.0,41.08,2035.0,4055.22,1.238,195.6,5989.0,4.5,0.908
K00068.01,FALSE POSITIVE,0,1.000840564,1.3292,2714.4,80.25,3367.0,30248.83,1.165,73.2,6287.0,3.558,3.177
K00379.02,CANDIDATE,1,23.1375919,3.35,114.0,1.83,837.0,115.86,0.429,12.9,6078.0,4.094,1.683
K03978.01,FALSE POSITIVE,0,2.28612573,12.408,301.6,22.63,1433.0,993.96,1.188,45.3,6063.0,4.476,1.012
K03979.01,FALSE POSITIVE,0,1.33254971,4.69,158.3,1.36,1782.0,2377.19,0.741,35.3,6150.0,4.41,1.004
K04071.01,FALSE POSITIVE,0,1.89131005,5.687,155.6,6.4,1590.0,1507.16,1.035,18.7,5706.0,4.255,1.12
K04072.01,CONFIRMED,2,0.692978457,1.1366,61.0,2.24,3186.0,24240.83,0.938,20.9,6105.0,3.805,2.304
K00069.01,CONFIRMED,2,4.72674037,2.9267,273.1,1.56,1028.0,264.08,0.657,287.8,5648.0,4.472,0.894
K00389.01,FALSE POSITIVE,0,3.741231778,2.469,419.0,1.55,951.0,193.55,0.25,66.6,5206.0,4.598,0.767
K04073.01,FALSE POSITIVE,0,87.140633,18.11,449.2,2.47,938.0,183.39,0.583,27.5,5761.0,4.438,0.997
K04075.01,FALSE POSITIVE,0,0.885131111,3.377,93.2,0.9,1818.0,2579.83,0.715,23.4,5904.0,4.543,0.867
K04076.01,CONFIRMED,2,124.827797,6.479,647.5,2.57,350.0,3.56,0.096,17.1,5349.0,4.353,1.032
K02662.01,CONFIRMED,2,2.10433534,1.1168,242.1,0.79,662.0,45.34,0.872,20.7,3605.0,4.837,0.433
K02663.01,CONFIRMED,2,9.88736642,4.23,68.0,0.68,768.0,82.32,0.383,14.6,5693.0,4.57,0.816
K02664.01,CONFIRMED,2,28.8431751,3.171,756.7,2.66,491.0,13.77,0.913,15.0,5151.0,4.528,0.785
K00043.01,FALSE POSITIVE,0,11.32029599,4.5866,4303.5,8.02,811.0,102.12,0.914,85.0,5780.0,4.438,1.0
K00281.01,CONFIRMED,2,19.55662003,8.087,298.9,2.45,797.0,95.35,0.606,111.0,5671.0,4.094,1.36
